ad_id,brand,headline,body,true_territory,true_audiences,notes
CR00607181940407140353,Alo Yoga,ALO,Fast & free worldwide shipping. Shop ALO premium men's gym shorts now.,,,
CR07313732622461435905,Arc'teryx,Arc'teryx Piccadilly London Store,"Our lightweight layers are designed to keep you cool, covered, and protected from UV rays.",,,
CR00623664513060700161,Fabletics,Fabletics,Get 80% off everything when you sign up as a new Fabletics VIP—don’t miss out!,,,
d621e1ef6864,Gymshark,Gymshark Official Site - The Gym Is Everything We Do,Achieve Your Best In & Out Of The Gym With Our High Quality Products & Unrivalled Design.,,,
CR06923374512490676225,New Balance,New Balance,From Street Style To Classic Comfort To Performance Gear.,,,
CR13243293415380090881,Nike,Nike Factory Store - Downtown Philadelphia,Use promo code DAYONE to get an extra 25% off on select styles.,,,
CR13893760577362198529,On,On Store Austin South Congress,Find your perfect On. Millions of runners already have theirs. Let us help you find yours.,,,
CR05581677719072014337,Patagonia,Patagonia,Made with 100% Recycled Outer Fabrics and Designed to Meet Our H2No® Performance Standard.,,,
3b701dbcf7af,Tracksmith,Running Pants For Women - Essentials For Serious Runners,"Premium Running Bottoms Built For Training, Racing, & Rest Days.",,,
CR07448732214897934337,Under Armour,Under Armour Factory House - Tanger Outlets Hershey,Get The Gear Everyone's After. Shop UA® Compression Shirts Today,,,
CR10458937199092039681,Vuori,Vuori,Lounge By The Pool Or Catch Waves In Vuori® Swimwear.,,,
45ee809c7e9a,lululemon,Wunder Train Gloves | Women's Gloves & Mittens & Cold Weather,Lightweight And Bulk-Free Warmth For Those Cooler Days And Adventures. Shop Now.,,,
CR10393974521659916289,Alo Yoga,ALO,"Go from studio to street with new men's sweatshirts, hoodies, and jackets from ALO.",,,
CR07880951919403859969,Arc'teryx,Arc'teryx Southgate Centre,"Shells, insulation, packs — our technical mountain gear keeps you moving.",,,
CR04218662915609198593,Fabletics,Fabletics,"Become a VIP member for exclusive deals on men’s activewear & apparel, plus monthly drops",,,
9622caed7f9a,Gymshark,The Perfect Gym Styles - We're The Gymwear Brand - Gymshark,"However You Gym, We've Got The Clothes, Accessories & Community For You. Shop Gymshark Gym Apparel, Available In A Range Of Colors & Styles.",,,
CR07327211320757977089,New Balance,New Balance Factory Store Cincinnati,New Balance's Collection Of Shoes Are Engineered Without Compromise. Shop Men's Shoes.,,,
CR05585223996258910209,On,On Flagship Store Chicago Rush Street,ON ROGER Centre Court returns with an enhanced focus on fit and comfort.,,,
CR18411344867356573697,Patagonia,Patagonia,"Synthetic Insulation Nano Puff® Jackets & Vests for Packable, Easy-Layering Warmth.",,,
3f3ec0d14c13,Tracksmith,Tracksmith® Running Tights.,Running Is Your Culture. Find The Perfect Tight For Focused Effort In Any Weather.,,,
